file,width_px,height_px,mode
01_logo_mark/black/executar-mark-black-1024.png,1024,1024,RGBA
01_logo_mark/black/executar-mark-black-128.png,128,128,RGBA
01_logo_mark/black/executar-mark-black-2048.png,2048,2048,RGBA
01_logo_mark/black/executar-mark-black-256.png,256,256,RGBA
01_logo_mark/black/executar-mark-black-512.png,512,512,RGBA
01_logo_mark/black/executar-mark-black-64.png,64,64,RGBA
01_logo_mark/reverse/executar-mark-reverse-1024.png,1024,1024,RGBA
01_logo_mark/reverse/executar-mark-reverse-128.png,128,128,RGBA
01_logo_mark/reverse/executar-mark-reverse-2048.png,2048,2048,RGBA
01_logo_mark/reverse/executar-mark-reverse-256.png,256,256,RGBA
01_logo_mark/reverse/executar-mark-reverse-512.png,512,512,RGBA
01_logo_mark/reverse/executar-mark-reverse-64.png,64,64,RGBA
01_logo_mark/primary/executar-mark-primary-1024.png,1024,1024,RGBA
01_logo_mark/primary/executar-mark-primary-128.png,128,128,RGBA
01_logo_mark/primary/executar-mark-primary-180.png,180,180,RGBA
01_logo_mark/primary/executar-mark-primary-192.png,192,192,RGBA
01_logo_mark/primary/executar-mark-primary-2048.png,2048,2048,RGBA
01_logo_mark/primary/executar-mark-primary-256.png,256,256,RGBA
01_logo_mark/primary/executar-mark-primary-32.png,32,32,RGBA
01_logo_mark/primary/executar-mark-primary-48.png,48,48,RGBA
01_logo_mark/primary/executar-mark-primary-512.png,512,512,RGBA
01_logo_mark/primary/executar-mark-primary-64.png,64,64,RGBA
01_logo_mark/primary/executar-mark-primary-96.png,96,96,RGBA
06_social/executar-og-dark-1200x630.png,1200,630,RGB
06_social/executar-og-light-1200x630.png,1200,630,RGB
06_social/executar-social-avatar-1024.png,1024,1024,RGB
06_social/executar-social-avatar-1080.png,1080,1080,RGB
06_social/executar-social-avatar-512.png,512,512,RGB
06_social/executar-social-avatar-dark-1024.png,1024,1024,RGB
06_social/executar-social-avatar-dark-1080.png,1080,1080,RGB
06_social/executar-social-avatar-dark-512.png,512,512,RGB
03_lockups/horizontal/executar-horizontal-dark-1200px.png,1200,700,RGBA
03_lockups/horizontal/executar-horizontal-dark-2400px.png,2400,700,RGBA
03_lockups/horizontal/executar-horizontal-dark-3600px.png,3600,700,RGBA
03_lockups/horizontal/executar-horizontal-primary-1200px.png,1200,700,RGBA
03_lockups/horizontal/executar-horizontal-primary-2400px.png,2400,700,RGBA
03_lockups/horizontal/executar-horizontal-primary-3600px.png,3600,700,RGBA
03_lockups/stacked/executar-stacked-dark-1200.png,1200,1200,RGBA
03_lockups/stacked/executar-stacked-dark-2400.png,2400,2400,RGBA
03_lockups/stacked/executar-stacked-dark-600.png,600,600,RGBA
03_lockups/stacked/executar-stacked-primary-1200.png,1200,1200,RGBA
03_lockups/stacked/executar-stacked-primary-2400.png,2400,2400,RGBA
03_lockups/stacked/executar-stacked-primary-600.png,600,600,RGBA
05_favicon/executar-favicon-128.png,128,128,RGB
05_favicon/executar-favicon-16.png,16,16,RGB
05_favicon/executar-favicon-256.png,256,256,RGB
05_favicon/executar-favicon-32.png,32,32,RGB
05_favicon/executar-favicon-48.png,48,48,RGB
05_favicon/executar-favicon-512.png,512,512,RGB
05_favicon/executar-favicon-64.png,64,64,RGB
04_app_icons/PWA/executar-pwa-192.png,192,192,RGB
04_app_icons/PWA/executar-pwa-512.png,512,512,RGB
04_app_icons/PWA/executar-pwa-dark-192.png,192,192,RGB
04_app_icons/PWA/executar-pwa-dark-512.png,512,512,RGB
04_app_icons/PWA/executar-pwa-maskable-192.png,192,192,RGB
04_app_icons/PWA/executar-pwa-maskable-512.png,512,512,RGB
04_app_icons/iOS/executar-ios-AppStore-1024.png,1024,1024,RGB
04_app_icons/iOS/executar-ios-Notification-40.png,40,40,RGB
04_app_icons/iOS/executar-ios-Notification-60.png,60,60,RGB
04_app_icons/iOS/executar-ios-Settings-58.png,58,58,RGB
04_app_icons/iOS/executar-ios-Settings-87.png,87,87,RGB
04_app_icons/iOS/executar-ios-Spotlight-120.png,120,120,RGB
04_app_icons/iOS/executar-ios-Spotlight-80.png,80,80,RGB
04_app_icons/iOS/executar-ios-iPad-152.png,152,152,RGB
04_app_icons/iOS/executar-ios-iPad-167.png,167,167,RGB
04_app_icons/iOS/executar-ios-iPhone-120.png,120,120,RGB
04_app_icons/iOS/executar-ios-iPhone-180.png,180,180,RGB
04_app_icons/Android/executar-android-hdpi-72.png,72,72,RGB
04_app_icons/Android/executar-android-mdpi-48.png,48,48,RGB
04_app_icons/Android/executar-android-playstore-512.png,512,512,RGB
04_app_icons/Android/executar-android-xhdpi-96.png,96,96,RGB
04_app_icons/Android/executar-android-xxhdpi-144.png,144,144,RGB
04_app_icons/Android/executar-android-xxxhdpi-192.png,192,192,RGB
07_brand_preview/EXECUTAR-brand-package-preview.png,2000,1400,RGB
02_wordmark/executar-wordmark-black-1200px.png,1200,144,RGBA
02_wordmark/executar-wordmark-black-2400px.png,2400,289,RGBA
02_wordmark/executar-wordmark-black-3600px.png,3600,434,RGBA
02_wordmark/executar-wordmark-black-600px.png,600,72,RGBA
02_wordmark/executar-wordmark-white-1200px.png,1200,144,RGBA
02_wordmark/executar-wordmark-white-2400px.png,2400,289,RGBA
02_wordmark/executar-wordmark-white-3600px.png,3600,434,RGBA
02_wordmark/executar-wordmark-white-600px.png,600,72,RGBA
