id,name,domain_id,domain_name,purpose,aliases,related_domains
FW-D01-001,SWOT,D01,Gestão Empresarial,"Analisa forças, fraquezas, oportunidades e ameaças para apoiar diagnóstico estratégico e definição de prioridades.",FOFA,D10; D13; D07; D03
FW-D01-002,TOWS,D01,Gestão Empresarial,Converte fatores SWOT em combinações estratégicas e linhas concretas de ação.,,D10; D13; D07; D03
FW-D01-003,PESTEL,D01,Gestão Empresarial,"Examina fatores políticos, econômicos, sociais, tecnológicos, ambientais e legais do ambiente externo.",,D10; D13; D07; D03
FW-D01-004,Porter Five Forces,D01,Gestão Empresarial,"Analisa rivalidade, entrantes, substitutos e poder de fornecedores e compradores.",Five Forces; 5 Forces; Cinco Forças de Porter,D10; D13; D07; D03
FW-D01-005,Competitive Moat,D01,Gestão Empresarial,Identifica mecanismos defensáveis que dificultam a replicação da vantagem competitiva.,Moat,D10; D13; D07; D03
FW-D01-006,VRIO,D01,Gestão Empresarial,"Avalia recursos segundo valor, raridade, imitabilidade e organização.",,D10; D13; D07; D03
FW-D01-007,Resource-Based View,D01,Gestão Empresarial,Analisa vantagem competitiva a partir de recursos e capacidades internas.,,D10; D13; D07; D03
FW-D01-008,Ansoff Matrix,D01,Gestão Empresarial,"Estrutura estratégias de penetração, desenvolvimento de mercado, produto e diversificação.",,D10; D13; D07; D03
FW-D01-009,BCG Matrix,D01,Gestão Empresarial,Classifica portfólio por crescimento de mercado e participação relativa.,,D10; D13; D07; D03
FW-D01-010,GE–McKinsey Matrix,D01,Gestão Empresarial,Prioriza unidades e produtos considerando atratividade do mercado e força competitiva.,,D10; D13; D07; D03
FW-D01-011,Blue Ocean Strategy,D01,Gestão Empresarial,Busca espaços de mercado menos disputados por inovação de valor.,,D10; D13; D07; D03
FW-D01-012,Strategy Canvas,D01,Gestão Empresarial,Compara fatores competitivos e evidencia oportunidades de diferenciação.,,D10; D13; D07; D03
FW-D01-013,Value Chain Analysis,D01,Gestão Empresarial,"Decompõe atividades para localizar geração de valor, custos e vantagens.",,D10; D13; D07; D03
FW-D01-014,Core Competencies,D01,Gestão Empresarial,Identifica competências centrais capazes de sustentar diferenciação e crescimento.,,D10; D13; D07; D03
FW-D01-015,Strategic Group Mapping,D01,Gestão Empresarial,Posiciona concorrentes segundo dimensões estratégicas relevantes.,,D10; D13; D07; D03
FW-D01-016,Competitive Positioning Map,D01,Gestão Empresarial,Representa visualmente posicionamentos relativos de ofertas ou concorrentes.,,D10; D13; D07; D03
FW-D01-017,Scenario Planning,D01,Gestão Empresarial,Estrutura futuros plausíveis para testar decisões e resiliência estratégica.,,D10; D13; D07; D03
FW-D01-018,Three Horizons,D01,Gestão Empresarial,"Distribui iniciativas entre negócio atual, crescimento emergente e inovação futura.",,D10; D13; D07; D03
FW-D01-019,McKinsey 7S,D01,Gestão Empresarial,"Analisa alinhamento entre estratégia, estrutura, sistemas, habilidades, pessoas, estilo e valores.",,D10; D13; D07; D03
FW-D01-020,Balanced Scorecard,D01,Gestão Empresarial,"Traduz estratégia em objetivos, indicadores e iniciativas distribuídos por perspectivas.",BSC,D10; D13; D07; D03
FW-D01-021,OKR,D01,Gestão Empresarial,Conecta objetivos qualitativos a resultados-chave mensuráveis.,,D10; D13; D07; D03
FW-D01-022,North Star Metric,D01,Gestão Empresarial,Define métrica central associada ao valor recorrente entregue ao usuário.,NSM,D10; D13; D07; D03
FW-D01-023,OGSM,D01,Gestão Empresarial,"Estrutura objetivo, metas, estratégias e medidas em um modelo integrado.",,D10; D13; D07; D03
FW-D01-024,Hoshin Kanri,D01,Gestão Empresarial,Desdobra prioridades estratégicas em execução coordenada entre níveis organizacionais.,,D10; D13; D07; D03
FW-D01-025,Theory of Change,D01,Gestão Empresarial,Explicita como ações e condições devem produzir resultados e impactos esperados.,,D10; D13; D07; D03
FW-D01-026,Logic Model,D01,Gestão Empresarial,"Relaciona recursos, atividades, outputs, outcomes e impacto.",,D10; D13; D07; D03
FW-D02-001,COSO ERM,D02,"Jurídico, Riscos e Conformidade","Estrutura identificação, avaliação, tratamento e monitoramento integrado de riscos corporativos.",,D08; D12; D05; D22
FW-D02-002,Three Lines Model,D02,"Jurídico, Riscos e Conformidade","Separa responsabilidades operacionais, supervisão de riscos e auditoria independente.",,D08; D12; D05; D22
FW-D02-003,Risk Matrix,D02,"Jurídico, Riscos e Conformidade","Classifica riscos por probabilidade, impacto e criticidade.",,D08; D12; D05; D22
FW-D02-004,Bow-Tie Analysis,D02,"Jurídico, Riscos e Conformidade","Relaciona causas, evento de risco, consequências, barreiras preventivas e mitigadoras.",,D08; D12; D05; D22
FW-D02-005,Compliance Risk Assessment,D02,"Jurídico, Riscos e Conformidade","Mapeia obrigações, exposições, controles e risco residual de conformidade.",,D08; D12; D05; D22
FW-D02-006,Risk-Control Matrix,D02,"Jurídico, Riscos e Conformidade",Relaciona riscos identificados aos controles responsáveis por preveni-los ou detectá-los.,,D08; D12; D05; D22
FW-D02-007,DPIA,D02,"Jurídico, Riscos e Conformidade",Avalia impactos e salvaguardas associados ao tratamento de dados pessoais.,,D08; D12; D05; D22
FW-D02-008,Privacy by Design,D02,"Jurídico, Riscos e Conformidade",Incorpora privacidade e proteção de dados desde a concepção de sistemas.,,D08; D12; D05; D22
FW-D03-001,CAPEX/OPEX,D03,Finanças,Classifica e acompanha investimentos de capital e despesas operacionais.,,D01; D10; D13
FW-D03-002,Budget vs. Actual,D03,Finanças,Compara orçamento planejado com execução financeira real.,,D01; D10; D13
FW-D03-003,Break-even Analysis,D03,Finanças,Calcula o ponto em que receitas cobrem integralmente custos.,,D01; D10; D13
FW-D03-004,Contribution Margin,D03,Finanças,Mede quanto cada venda contribui para custos fixos e resultado.,,D01; D10; D13
FW-D03-005,ROI,D03,Finanças,Compara retorno obtido com investimento realizado.,,D01; D10; D13
FW-D03-006,ROIC,D03,Finanças,Mede retorno econômico produzido sobre o capital investido.,,D01; D10; D13
FW-D03-007,NPV / VPL,D03,Finanças,Avalia valor presente dos fluxos financeiros futuros.,,D01; D10; D13
FW-D03-008,IRR / TIR,D03,Finanças,Calcula a taxa que iguala valor presente de entradas e saídas.,,D01; D10; D13
FW-D03-009,Payback Period,D03,Finanças,Estima o prazo necessário para recuperar um investimento.,,D01; D10; D13
FW-D03-010,Sensitivity Analysis,D03,Finanças,Mede como alterações em premissas afetam resultados financeiros.,,D01; D10; D13
FW-D03-011,Financial Scenario Analysis,D03,Finanças,Compara resultados sob cenários financeiros alternativos.,,D01; D10; D13
FW-D03-012,Monte Carlo Simulation,D03,Finanças,Simula distribuições de resultados considerando incerteza das variáveis.,,D01; D10; D13
FW-D03-013,Cost-Benefit Analysis,D03,Finanças,Compara benefícios esperados aos custos totais de uma iniciativa.,,D01; D10; D13
FW-D03-014,Total Cost of Ownership,D03,Finanças,Consolida custos diretos e indiretos ao longo da vida de um ativo.,TCO,D01; D10; D13
FW-D03-015,Activity-Based Costing,D03,Finanças,Atribui custos segundo atividades e direcionadores de consumo.,ABC,D01; D10; D13
FW-D03-016,Unit Economics,D03,Finanças,"Mede rentabilidade econômica no nível de cliente, unidade ou transação.",,D01; D10; D13
FW-D03-017,LTV/CAC,D03,Finanças,Compara valor econômico do cliente com o custo de adquiri-lo.,,D01; D10; D13
FW-D03-018,CAC Payback,D03,Finanças,Calcula o tempo necessário para recuperar o custo de aquisição.,,D01; D10; D13
FW-D04-001,RACI,D04,Pessoas e Recursos Humanos,"Define responsáveis, aprovadores, consultados e informados para atividades e decisões.",,D01; D07; D08
FW-D04-002,Skills Matrix,D04,Pessoas e Recursos Humanos,"Mapeia competências necessárias, disponíveis e lacunas da equipe.",,D01; D07; D08
FW-D04-003,Competency Framework,D04,Pessoas e Recursos Humanos,Define competências e níveis esperados por função ou responsabilidade.,,D01; D07; D08
FW-D04-004,Workforce Planning,D04,Pessoas e Recursos Humanos,Relaciona demanda futura de trabalho à capacidade de pessoas disponível.,,D01; D07; D08
FW-D04-005,9-Box Grid,D04,Pessoas e Recursos Humanos,Organiza avaliações combinando desempenho e potencial.,,D01; D07; D08
FW-D04-006,Capability Mapping,D04,Pessoas e Recursos Humanos,Identifica capacidades organizacionais necessárias para executar a estratégia.,,D01; D07; D08
FW-D04-007,Responsibility Assignment Matrix,D04,Pessoas e Recursos Humanos,"Relaciona entregas, funções e responsabilidades organizacionais.",,D01; D07; D08
FW-D04-008,Team Topologies,D04,Pessoas e Recursos Humanos,Organiza equipes e interações conforme fluxo de valor e carga cognitiva.,,D01; D07; D08
FW-D05-001,DAMA-DMBOK,D05,Dados,"Referencial para governança, qualidade, arquitetura, integração e gestão de dados.",,D06; D10; D12
FW-D05-002,Data Governance Framework,D05,Dados,"Define ownership, políticas, qualidade, controles e ciclo de vida dos dados.",,D06; D10; D12
FW-D05-003,Data Quality Dimensions,D05,Dados,"Avalia completude, precisão, consistência, atualidade, unicidade e validade.",,D06; D10; D12
FW-D05-004,Data Lineage,D05,Dados,"Rastreia origem, transformação, movimentação e consumo de cada dado.",,D06; D10; D12
FW-D05-005,Dimensional Modeling,D05,Dados,Estrutura fatos e dimensões para análise e inteligência.,,D06; D10; D12
FW-D05-006,Medallion Architecture,D05,Dados,Organiza dados em camadas progressivas de refinamento e confiabilidade.,,D06; D10; D12
FW-D05-007,Data Mesh,D05,Dados,Distribui ownership de dados por domínio com governança federada.,,D06; D10; D12
FW-D05-008,Data Fabric,D05,Dados,"Integra dados distribuídos por metadados, automação e serviços comuns.",,D06; D10; D12
FW-D05-009,CRISP-DM,D05,Dados,Estrutura projetos analíticos desde entendimento do problema até implantação.,,D06; D10; D12
FW-D05-010,KPI Tree,D05,Dados,Decompõe indicadores estratégicos em métricas causais e operacionais.,,D06; D10; D12
FW-D06-001,DIKW,D06,Conhecimento e Busca Corporativa,"Organiza progressão entre dados, informação, conhecimento e sabedoria.",,D05; D09; D12
FW-D06-002,SECI Model,D06,Conhecimento e Busca Corporativa,"Estrutura criação de conhecimento por socialização, externalização, combinação e internalização.",,D05; D09; D12
FW-D06-003,KCS,D06,Conhecimento e Busca Corporativa,Integra criação e manutenção de conhecimento ao fluxo operacional.,,D05; D09; D12
FW-D06-004,Knowledge Graph,D06,Conhecimento e Busca Corporativa,Representa entidades e relações para conectar conhecimento distribuído.,,D05; D09; D12
FW-D06-005,Taxonomy Framework,D06,Conhecimento e Busca Corporativa,Organiza conceitos e conteúdos em categorias hierárquicas controladas.,,D05; D09; D12
